playlist,track_id,track_name,artist_name,album_name,release_date,popularity,added_at
Top 50 - Brazil,7wrjh1jGLkV99AhcgnGRjE,COM MEDO!,"Sayfalse, Scythermane",COM MEDO!,2025-03-06,67,2025-09-09T00:33:16Z
Top 50 - Brazil,6s51zv3kp2QU3sYOSmNwpD,THERMONUCLEAR,PINKY SMASH,THERMONUCLEAR,2025-01-27,48,2025-02-04T20:06:24Z
Top 50 - Brazil,5a3W05S11qbPoP48d1h6Xy,STEAL,"TRXVELER, DJ PRO",STEAL,2025-01-31,41,2025-02-04T20:06:24Z
Top 50 - Brazil,2pWHhlx161t4LT7uBF197I,SLIDE COLLAPSE,Y3LLAVISION,SLIDE COLLAPSE,2024-09-27,41,2025-09-09T00:33:24Z
Top 50 - Brazil,716cpwjVWIfApSvgBbQVtv,FALL,"Envacity, NTPV",FALL,2024-08-23,40,2025-02-04T20:06:24Z
Top 50 - Brazil,4e47GomEPzaRmsHlEQreDt,Berserk,APHRO,Berserk,2024-09-13,54,2025-02-04T23:28:43Z
Top 50 - Brazil,7BRQ9eXqLLkYL8WdIYNRQq,Montagem sombra estelar 1.0,"DJ RICK 013, Mc Charles, THZ",Montagem sombra estelar 1.0,2024-11-30,65,2025-09-09T00:34:53Z
Top 50 - Brazil,5vhBLZGw6yQqOvT61Tn2fA,SEQUENCIA BACHI,"DJZRX, MC MN, Launch13, Rodricci",SEQUENCIA BACHI,2024-11-21,55,2024-12-19T03:44:58Z
Top 50 - Brazil,5PHdyF0lk5ZWzow4aUSfPL,EL QUE LA DEBE FUNK - SLOWED,"FR3ST, DJ MILLYANN, MRR",EL QUE LA DEBE FUNK,2024-11-06,62,2024-11-17T20:50:53Z
Top 50 - Brazil,5GLNE2kxoAouIaNyWvam80,DON`T STOP,GLXXMSTRIDER,DON`T STOP,2024-04-19,63,2025-02-25T03:54:48Z
Top 50 - Brazil,4Ha6W6v9DSTecYYtovtvg7,FUNK OSCURO - Super Slowed,"h6itam, ICEDMANE, DYSMANE",FUNK OSCURO,2024-10-24,67,2024-12-07T15:45:40Z
Top 50 - Brazil,6kJjlOWBwnDwIBsvlwTNIF,BAD PARENTING FUNK,"DJ CEREJASS, Sayfalse",BAD PARENTING FUNK,2024-10-22,69,2024-11-22T03:59:22Z
Top 50 - Brazil,2XvJb6kUogoWD2jkYvaNtg,DERIVA MALÍCIA,"-Prey, Scythermane",DERIVA MALÍCIA,2024-11-27,51,2024-12-14T05:35:04Z
Top 50 - Brazil,25MzUGleMnmyoeTNRZ8QF1,VAPO NO SETOR,"DJ ANXVAR, MC LONE",VAPO NO SETOR,2024-08-13,72,2024-12-14T03:19:13Z
Top 50 - Brazil,0KCRlnAviErdAu6JcjKZJs,BRUXO FANTASMA,"LXNGVX, Dj Gabriel do Borel",BRUXO FANTASMA,2024-08-16,62,2024-09-23T19:51:58Z
Top 50 - Brazil,4Pxm8GR4lQT1WnhvN2qNvx,void - super slowed,isq,void,2024-08-23,70,2024-11-05T04:01:29Z
