playlist,track_id,track_name,artist_name,album_name,release_date,popularity,added_at
Top 50 - GB,0jmKzJmUEKNbC7eU8YfOiA,Mayonaise - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),1993,68,2024-09-13T02:38:18Z
Top 50 - GB,3RciEQxS7PxtLqMs7OwRsU,Stand Inside Your Love,The Smashing Pumpkins,Machina / The Machines Of God,2000-02-29,56,2024-09-13T02:38:41Z
Top 50 - GB,1N0UflnZhn7xOkrN2l8zxx,Time,Hootie & The Blowfish,Cracked Rear View,1994-07-01,60,2024-09-13T02:39:28Z
Top 50 - GB,1uqGSvSc207Zlgi4sGr9RQ,Time Stand Still,"Rush, Aimee Mann",Hold Your Fire,1987-01-01,52,2024-09-13T02:39:53Z
Top 50 - GB,3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,Rush,Moving Pictures (2011 Remaster),1981-02-12,70,2024-09-13T02:40:09Z
Top 50 - GB,44aTAUBF0g6sMkMNE8I5kd,Every Little Thing She Does Is Magic,The Police,Ghost In The Machine (Remastered 2003),1981-10-02,75,2024-09-13T02:40:34Z
Top 50 - GB,4alHo6RGd0D3OUbTPExTHN,Just What I Needed,The Cars,The Cars,1978-06-06,71,2024-09-13T02:41:11Z
Top 50 - GB,7w2s5Wj0LPNhUkVCt8av09,Just My Imagination (Running Away With Me) - Remastered,The Rolling Stones,Some Girls,1978-06-09,44,2024-09-13T02:42:25Z
Top 50 - GB,7K3rmA4f6NEElsxKEOOt8H,Little T&A - Remastered,The Rolling Stones,Tattoo You (2009 Re-Mastered),1981-08-24,47,2024-09-13T02:42:39Z
Top 50 - GB,46dGFTD918NMz1IP1rPJXO,Radio Free Europe,R.E.M.,Murmur,1983-01-01,47,2024-09-13T02:43:37Z
Top 50 - GB,3xPKSMgZl4N3rfTyIgSPfa,Fall On Me - 2011 Remaster,R.E.M.,Lifes Rich Pageant (Deluxe Edition),1986-07-28,46,2024-09-13T02:43:57Z
Top 50 - GB,6A9nyMBdNUzVcFHZUEZ71F,I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You),Fall Out Boy,Infinity On High,2007-01-01,59,2024-09-13T02:44:51Z
Top 50 - GB,3vCg1IbQEpEJc0fxWdLLw3,Stockholm Syndrome Interlude,blink-182,blink-182,2003-11-01,42,2024-09-13T02:45:32Z
Top 50 - GB,1KcmugpUozu6Llj3p5Qboa,Obvious,blink-182,blink-182,2003-11-01,54,2024-09-13T02:46:12Z
Top 50 - GB,5bEDnPCC90lizjjpxx2Gs9,Disaster,blink-182,Dogs Eating Dogs,2012-12-18,44,2024-09-13T02:47:41Z
Top 50 - GB,2d6m2F4I7wCuAKtSsdhh83,Famous Last Words,My Chemical Romance,The Black Parade,2006-10-20,76,2024-09-13T02:49:33Z
Top 50 - GB,4fGIqy3bvjX0jz1SJHqjjo,"It's Not a Fashion Statement, It's a Deathwish",My Chemical Romance,Three Cheers for Sweet Revenge,2004-06-08,62,2024-09-13T02:50:12Z
Top 50 - GB,0BpKPyXhWsTaWkgXeOd1Sn,Thank You for the Venom,My Chemical Romance,Three Cheers for Sweet Revenge,2004-06-08,68,2024-09-13T02:50:26Z
Top 50 - GB,7lRlq939cDG4SzWOF4VAnd,I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,2004-06-08,77,2024-09-13T02:50:40Z
Top 50 - GB,23EkfwUdsRIz7jAZIcC8gb,Stay A Little Longer,Brothers Osborne,Pawn Shop,2016-01-15,64,2024-09-13T02:51:52Z
Top 50 - GB,5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,The All-American Rejects,Move Along,2005-01-01,74,2024-09-13T02:52:01Z
Top 50 - GB,2gdtLnVGGg80Kj9GiqP0vH,Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,Tiny Music...Songs from the Vatican Gift Shop,1996-03-26,62,2024-09-13T02:53:32Z
Top 50 - GB,5KBKqxYY263Tr0haAu3fMz,Sometimes,my bloody valentine,Loveless,1991-11-04,47,2024-09-13T02:53:46Z
Top 50 - GB,76Je5Wklky23mVoxiRszcN,Walk,Foo Fighters,Wasting Light,2011-04-12,67,2024-09-13T02:53:59Z
Top 50 - GB,7Bj6xscdWnY8sarktaK19U,When Love And Hate Collide,Def Leppard,The Story So Far: The Best Of Def Leppard (Deluxe),2018-11-30,52,2024-09-13T02:54:26Z
Top 50 - GB,1EXHOg3R2R5we09DgwIABp,London,Third Eye Blind,Third Eye Blind,1997-04-08,46,2024-09-13T02:55:21Z
Top 50 - GB,1fLibtVj3MrNTwRZq5yUOs,Let's Go (feat. Twista & Lil' Jon),"Trick Daddy, Lil Jon, Twista",Thug Matrimony: Married to the Streets,2004-10-26,66,2024-09-13T02:55:37Z
Top 50 - GB,1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,Luke Combs,This One's for You,2017-06-02,81,2024-09-13T02:56:01Z
Top 50 - GB,4hcNGsiVC4bJRrucc6BAU1,One Big Holiday,My Morning Jacket,It Still Moves,2003-09-09,0,2024-09-13T02:56:37Z
Top 50 - GB,2VpcUhdlOdoeQiXWliYQlQ,#9 Dream,R.E.M.,Instant Karma: The Amnesty International Campaign To Save Darfur (Standard Version),2007-06-11,24,2024-09-13T02:56:56Z
Top 50 - GB,5wj4E6IsrVtn8IBJQOd0Cl,Wonderwall (Remastered),Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],1995-10-02,2,2024-09-13T02:57:10Z
Top 50 - GB,7CVYxHq1L0Z4G84jTDS6Jl,Don't Look Back In Anger (Remastered),Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],1995-10-02,0,2024-09-13T02:57:20Z
Top 50 - GB,5AMgAzHqrO8cUGoYGr1CHb,Morning Glory (Remastered),Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],1995-10-02,0,2024-09-13T02:57:38Z
Top 50 - GB,54X78diSLoUDI3joC2bjMz,Purple Rain,Prince,Purple Rain,1984-06-25,7,2024-09-13T02:58:02Z
Top 50 - GB,0Cvjlph1WGbwZY1PlMEtJY,Come Away With Me,Norah Jones,Come Away With Me,2002-02-26,1,2024-09-13T02:58:22Z
Top 50 - GB,7sLpSWxQazJzDVG6YGzlVs,99 Problems,JAY-Z,The Black Album,2003-11-14,63,2024-09-13T02:59:25Z
Top 50 - GB,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,The Colour And The Shape,1997-05-20,83,2024-09-13T02:59:36Z
Top 50 - GB,6fHS0zmDdDKktklfaqojaF,Unchained - 2015 Remaster,Van Halen,Fair Warning (Remastered),1981-05-06,59,2024-09-13T03:01:15Z
Top 50 - GB,0TaT50ZZxT4ytZxuqkE3A9,Why Can't This Be Love,Van Halen,5150,1986-03-24,66,2024-09-13T03:01:43Z
Top 50 - GB,3cahGAUUQ0n55EjLBs2Wjo,Today - 2011 Remaster,The Smashing Pumpkins,Siamese Dream (2011 - Remaster),1993-07-27,52,2024-09-13T03:02:08Z
Top 50 - GB,7bu0znpSbTks0O6I98ij0W,"Tonight, Tonight - Remastered 2012",The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),1995,70,2024-09-13T03:02:18Z
Top 50 - GB,34gDEAcnon6oeRMiEXm8jx,Armageddon It - Remastered 2017,Def Leppard,The Story So Far: The Best Of Def Leppard (Deluxe),2018-11-30,23,2024-09-13T03:03:32Z
Top 50 - GB,3ZzJkuppQw26ZciijHwK3W,I Got Id,Pearl Jam,Merkin Ball,1995-12-05,41,2024-09-13T03:03:57Z
Top 50 - GB,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),1991-09-26,79,2024-09-13T03:04:20Z
Top 50 - GB,3yMFBuIdPBdJkkzaPBDjKY,Miss World,Hole,Live Through This,1994-01-01,57,2024-09-13T03:04:40Z
Top 50 - GB,45ZLCfy2GWCoihtg4URIn8,Pulling Mussels (From The Shell),Squeeze,Singles - 45's And Under,1989-10-31,31,2024-09-13T03:05:19Z
Top 50 - GB,1h5COfxTCKvdYyBxv2ksD1,Be Good to Yourself (2024 Remaster),Journey,Greatest Hits (2024 Remaster),1988-11-29,40,2024-09-13T03:06:21Z
Top 50 - GB,7ExPVyqjD8OqavnjgttKNy,London,"Shower Beers, Glimmers",London,2024-01-25,4,2024-09-13T03:06:44Z
Top 50 - GB,76GlO5H5RT6g7y0gev86Nk,Just like Heaven,The Cure,"Kiss Me, Kiss Me, Kiss Me",1987-05-25,72,2024-09-13T03:19:48Z
Top 50 - GB,4LfgeOiPsAjDgDYSgmntCU,I've Got The World On A String,Frank Sinatra,Ultimate Sinatra,2015-04-17,45,2024-09-13T03:23:09Z
Top 50 - JP,52ePLIg3jS8NgyUTVyyusK,LOVE LOVE LOVE,DREAMS COME TRUE,LOVE LOVE LOVE／嵐が来る,1995,36,2023-01-06T11:09:53Z
Top 50 - JP,19oxKZQilcf3pGhduW6TPg,WOW WAR TONIGHT〜時には起こせよムーヴメント〜 - TWO MILLION MIX,H Jungle With t,WOW WAR TONIGHT,1995-03-15,57,2023-01-06T11:11:03Z
Top 50 - JP,2jcDDdBy1foaBC8X9owMrZ,HELLO (Original Version),Masaharu Fukuyama,HELLO,1995,36,2023-01-06T11:11:48Z
Top 50 - JP,2CbDcSVFCbMSfLMoZiAFYN,Tomorrow never knows,Mr.Children,Tomorrow never knows,1994-11-10,62,2023-01-06T11:12:43Z
