playlist,track_id,track_name,artist_name,album_name,release_date,popularity,added_at
USA Top 50,64CfsZTgVJgOnj1jhEDuNM,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film / Deluxe Version),2025-09-05,63,2025-09-27T11:42:21Z
USA Top 50,5q9I5RmmrLC4U2mW2BnF3K,Safe (feat. Kehlani),"Cardi B, Kehlani",AM I THE DRAMA?,2025-09-19,76,2025-09-27T11:42:21Z
USA Top 50,02sy7FAs8dkDNYsHp4Ul3f,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,95,2025-09-27T11:42:21Z
USA Top 50,0bxPRWprUVpQK0UFcddkrA,Folded,Kehlani,Folded,2025-06-11,87,2025-09-27T11:42:21Z
USA Top 50,48NthgcgfoRrWT8LtgW28A,What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",I’m The Problem,2025-05-16,71,2025-09-27T11:42:21Z
USA Top 50,12ZObb5d07rhUPBYsLEwYD,"Thug By Day, Pt. 2","Mackgee, Thir13een","Thug By Day, Pt. 2",2025-03-21,15,2025-09-27T11:42:31Z
USA Top 50,7dHblXsJTRemgyIvFNJE7t,Magnet,Cardi B,AM I THE DRAMA?,2025-09-19,72,2025-09-27T11:42:21Z
USA Top 50,4rFqRV4UCQubpw348acBq3,Shot Callin,YoungBoy Never Broke Again,Shot Callin,2025-05-06,70,2025-09-27T11:42:21Z
USA Top 50,2wn0AYkmcF0Cm7PmvA7hJ7,Pretty & Petty,Cardi B,AM I THE DRAMA?,2025-09-19,73,2025-09-27T11:42:21Z
USA Top 50,0rSRsIVF39b7F7AvI1N9k4,Cowboys Wear Stetsons,Duncan Daniels,Honesty & Nostalgia (Deluxe),2025-08-15,49,2025-09-27T11:43:33Z
USA Top 50,7AeM1BGYM7emrqmQn1PuWv,I'm The Problem,Morgan Wallen,I’m The Problem,2025-05-16,83,2025-09-27T11:42:21Z
USA Top 50,5BbdKBZO0TH0GhfxUfyhL9,Freestyle,Lil Baby,Too Hard,2017-12-01,78,2025-09-27T11:42:21Z
USA Top 50,1I37Zz2g3hk9eWxaNkj031,Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,95,2025-09-27T11:42:21Z
USA Top 50,47i9UVf2GnGcOgT51RXEw3,Just In Case,Morgan Wallen,I’m The Problem,2025-05-16,48,2025-09-27T11:42:21Z
USA Top 50,6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,Ordinary,2025-02-07,91,2025-09-27T11:42:21Z
USA Top 50,0WsC4ETIXyiHDMXRaPMvKe,wgft (feat. Burna Boy),"Gunna, Burna Boy",The Last Wun,2025-08-08,79,2025-09-27T11:42:21Z
USA Top 50,3RXUgPNIbUgFxsDWuBQEt6,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,95,2025-09-27T11:42:21Z
USA Top 50,3gnBcl5KRYTzIQyCOQug6F,Dead (feat. Summer Walker),"Cardi B, Summer Walker",AM I THE DRAMA?,2025-09-19,72,2025-09-27T11:42:21Z
USA Top 50,0aWHb6ujnlXkmmOI1ltStc,Burning Blue,Mariah the Scientist,Burning Blue,2025-05-02,74,2025-09-27T11:42:21Z
USA Top 50,6eZ0Ngbo6GQChvyJHZeAIy,Hello,Cardi B,AM I THE DRAMA?,2025-09-18,48,2025-09-27T11:42:21Z
USA Top 50,2kZoOj1n5vk9BuF0sih58M,SOMEBODY LOVES ME,"PARTYNEXTDOOR, Drake",$ome $exy $ongs 4 U,2025-02-14,80,2025-09-27T11:42:21Z
USA Top 50,4gfrYDtaRmp6HPvN80V2ob,I Got Better,Morgan Wallen,I’m The Problem,2025-05-16,85,2025-09-27T11:42:21Z
USA Top 50,31lopd32BkJBTSgYE16c5e,In A Minute,Lil Baby,It's Only Me,2022-10-14,64,2025-09-27T11:42:21Z
USA Top 50,0t3pcqgBjuAVBgY2oEUIlH,It Depends (feat. Bryson Tiller),"Chris Brown, Bryson Tiller",It Depends (feat. Bryson Tiller),2025-07-25,81,2025-09-27T11:42:21Z
USA Top 50,7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,2024-05-10,81,2025-09-27T11:42:21Z
USA Top 50,3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",SOS Deluxe: LANA,2024-12-20,78,2025-09-27T11:42:21Z
USA Top 50,139nLHDFZNr3anx8CpUy7u,Outside,Cardi B,Outside,2025-06-20,72,2025-09-27T11:42:21Z
USA Top 50,5sBDrrtLGbV64QJnEqfjer,What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,94,2025-09-27T11:42:21Z
USA Top 50,1qbmS6ep2hbBRaEZFpn7BX,Man I Need,Olivia Dean,Man I Need,2025-08-15,93,2025-09-27T11:42:21Z
USA Top 50,2cBtsB7Pi89q9yWk59a2sX,ErrTime,Cardi B,AM I THE DRAMA?,2025-09-19,68,2025-09-27T11:42:21Z
